,Unnamed: 0,neg_word,pos_word,hyphen_word,negative_affix,tokenizer,neg_bytes,neg_correct,soft_neg_correct,pos_bytes,pos_correct,soft_pos_correct,hyphen_bytes,hyphen_correct,soft_hyphen_correct,tokenizer_type,Predict,NegMorph
3005,3005,undeciphered,deciphered,un-deciphered,un,google/flan-t5-xxl,"['unde', 'cip', 'he', 'red']",Incorrect,Correct,"['de', 'cip', 'he', 'red']",Incorrect,Incorrect,"['un', '-', 'de', 'cip', 'he', 'red']",Correct,Correct,sentencepiece,0,Under-segmented
3015,3015,indecisive,decisive,in-decisive,in,google/flan-t5-xxl,"['in', 'deci', 's', 'ive']",Correct,Correct,"['decisiv', 'e']",Incorrect,Incorrect,"['in', '-', 'deci', 's', 'ive']",Correct,Correct,sentencepiece,0,Correct
3025,3025,undeclared,declared,un-declared,un,google/flan-t5-xxl,"['unde', 'cla', 'red']",Incorrect,Correct,['declared'],Not segmented,Not segmented,"['un', '-', 'de', 'cla', 'red']",Correct,Correct,sentencepiece,0,Under-segmented
3035,3035,indecorous,decorous,in-decorous,in,google/flan-t5-xxl,"['in', 'de', 'co', 'rous']",Correct,Correct,"['decor', 'ous']",Incorrect,Incorrect,"['in', '-', 'de', 'co', 'rous']",Correct,Correct,sentencepiece,0,Correct
3045,3045,undedicated,dedicated,un-dedicated,un,google/flan-t5-xxl,"['unde', 'dic', 'ated']",Incorrect,Correct,['dedicated'],Not segmented,Not segmented,"['un', '-', 'de', 'dic', 'ated']",Correct,Correct,sentencepiece,0,Under-segmented
3055,3055,nondeductible,deductible,non-deductible,non,google/flan-t5-xxl,"['non', 'deductible']",Correct,Correct,['deductible'],Not segmented,Not segmented,"['non', '-', 'deductible']",Correct,Correct,sentencepiece,0,Correct
3065,3065,indefeasible,defeasible,in-defeasible,in,google/flan-t5-xxl,"['in', 'de', 'f', 'e', 'a', 's', 'ible']",Correct,Correct,"['de', 'f', 'e', 'a', 's', 'ible']",Incorrect,Incorrect,"['in', '-', 'de', 'f', 'e', 'a', 's', 'ible']",Correct,Correct,sentencepiece,0,Correct
3075,3075,undefeated,defeated,un-defeated,un,google/flan-t5-xxl,"['unde', 'f', 'e', 'ated']",Incorrect,Correct,['defeated'],Not segmented,Not segmented,"['un', '-', 'de', 'f', 'e', 'ated']",Correct,Correct,sentencepiece,0,Under-segmented
3085,3085,undefined,defined,un-defined,un,google/flan-t5-xxl,"['un', 'defined']",Correct,Correct,['defined'],Not segmented,Not segmented,"['un', '-', 'defined']",Correct,Correct,sentencepiece,0,Correct
3095,3095,indefinite,definite,in-definite,in,google/flan-t5-xxl,"['in', 'definite']",Correct,Correct,['definite'],Not segmented,Correct,"['in', '-', 'definite']",Correct,Correct,sentencepiece,1,Correct
3105,3105,indehiscent,dehiscent,in-dehiscent,in,google/flan-t5-xxl,"['in', 'de', 'his', 'cent']",Correct,Correct,"['de', 'his', 'cent']",Incorrect,Incorrect,"['in', '-', 'de', 'his', 'cent']",Correct,Correct,sentencepiece,0,Correct
3115,3115,dejected,elated,de-jected,de,google/flan-t5-xxl,"['de', 'j', 'ected']",Correct,Correct,"['e', 'l', 'ated']",Incorrect,Incorrect,"['de', '-', 'j', 'ected']",Correct,Correct,sentencepiece,1,Correct
3125,3125,undelineated,delineated,un-delineated,un,google/flan-t5-xxl,"['unde', 'line', 'ated']",Incorrect,Correct,"['de', 'line', 'ated']",Incorrect,Incorrect,"['un', '-', 'de', 'line', 'ated']",Correct,Correct,sentencepiece,0,Under-segmented
3135,3135,undemanding,demanding,un-demanding,un,google/flan-t5-xxl,"['un', 'demand', 'ing']",Correct,Correct,['demanding'],Not segmented,Not segmented,"['un', '-', 'demand', 'ing']",Correct,Correct,sentencepiece,0,Correct
3145,3145,undemocratic,democratic,un-democratic,un,google/flan-t5-xxl,"['un', 'democrat', 'ic']",Correct,Correct,['democratic'],Not segmented,Not segmented,"['un', '-', 'democrat', 'ic']",Correct,Correct,sentencepiece,0,Correct
3155,3155,undemonstrative,demonstrative,un-demonstrative,un,google/flan-t5-xxl,"['unde', 'mon', 'stra', 'tive']",Incorrect,Correct,"['demonstr', 'ative']",Incorrect,Incorrect,"['un', '-', 'dem', 'on', 'stra', 'tive']",Correct,Correct,sentencepiece,0,Under-segmented
3165,3165,undeniable,deniable,un-deniable,un,google/flan-t5-xxl,"['und', 'en', 'i', 'able']",Incorrect,Correct,"['den', 'i', 'able']",Incorrect,Incorrect,"['un', '-', 'den', 'i', 'able']",Correct,Correct,sentencepiece,0,Under-segmented
3175,3175,undependable,dependable,un-dependable,un,google/flan-t5-xxl,"['un', 'dependable']",Correct,Correct,['dependable'],Not segmented,Not segmented,"['un', '-', 'dependable']",Correct,Correct,sentencepiece,0,Correct
3185,3185,independent,dependent,in-dependent,in,google/flan-t5-xxl,['independent'],Not segmented,Correct,['dependent'],Not segmented,Not segmented,"['in', '-', 'dependent']",Correct,Correct,sentencepiece,1,Under-segmented
3195,3195,underived,derived,un-derived,un,google/flan-t5-xxl,"['un', 'derived']",Correct,Correct,['derived'],Not segmented,Not segmented,"['un', '-', 'derived']",Correct,Correct,sentencepiece,0,Correct
3205,3205,undescriptive,descriptive,un-descriptive,un,google/flan-t5-xxl,"['unde', 'script', 'ive']",Incorrect,Correct,['descriptive'],Not segmented,Not segmented,"['un', '-', 'de', 'script', 'ive']",Correct,Correct,sentencepiece,0,Under-segmented
3215,3215,undesigned,designed,un-designed,un,google/flan-t5-xxl,"['un', 'designed']",Correct,Correct,['designed'],Not segmented,Not segmented,"['un', '-', 'designed']",Correct,Correct,sentencepiece,0,Correct
3225,3225,undesirable,desirable,un-desirable,un,google/flan-t5-xxl,['undesirable'],Not segmented,Correct,['desirable'],Not segmented,Not segmented,"['un', '-', 'des', 'i', 'r', 'able']",Correct,Correct,sentencepiece,0,Under-segmented
3235,3235,undesirous,desirous,un-desirous,un,google/flan-t5-xxl,"['unde', 's', 'i', 'rous']",Incorrect,Correct,"['des', 'i', 'rous']",Incorrect,Incorrect,"['un', '-', 'des', 'i', 'rous']",Correct,Correct,sentencepiece,0,Under-segmented
3245,3245,indestructible,destructible,in-destructible,in,google/flan-t5-xxl,"['in', 'de', 'struct', 'ible']",Correct,Correct,"['de', 'struct', 'ible']",Incorrect,Incorrect,"['in', '-', 'de', 'struct', 'ible']",Correct,Correct,sentencepiece,1,Correct
3255,3255,undetected,detected,un-detected,un,google/flan-t5-xxl,"['unde', 't', 'ected']",Incorrect,Correct,['detected'],Not segmented,Not segmented,"['un', '-', 'de', 't', 'ected']",Correct,Correct,sentencepiece,0,Under-segmented
3265,3265,indeterminable,determinable,in-determinable,in,google/flan-t5-xxl,"['in', 'determin', 'able']",Correct,Correct,"['determin', 'able']",Incorrect,Correct,"['in', '-', 'determin', 'able']",Correct,Correct,sentencepiece,0,Correct
3275,3275,indeterminate,determinate,in-determinate,in,google/flan-t5-xxl,"['in', 'determin', 'ate']",Correct,Correct,"['determina', 't', 'e']",Incorrect,Correct,"['in', '-', 'determin', 'ate']",Correct,Correct,sentencepiece,0,Correct
3285,3285,undetermined,determined,un-determined,un,google/flan-t5-xxl,"['un', 'determined']",Correct,Correct,['determined'],Not segmented,Not segmented,"['un', '-', 'determined']",Correct,Correct,sentencepiece,0,Correct
3295,3295,undeveloped,developed,un-developed,un,google/flan-t5-xxl,"['un', 'developed']",Correct,Correct,['developed'],Not segmented,Not segmented,"['un', '-', 'developed']",Correct,Correct,sentencepiece,0,Correct
3305,3305,adiabatic,diabatic,a-diabatic,a,google/flan-t5-xxl,"['adia', 'b', 'atic']",Incorrect,Correct,"['di', 'aba', 'tic']",Incorrect,Correct,"['a', '-', 'd', 'i', 'aba', 'tic']",Correct,Correct,sentencepiece,1,Under-segmented
3315,3315,undifferentiated,differentiated,un-differentiated,un,google/flan-t5-xxl,"['un', 'different', 'i', 'ated']",Correct,Correct,"['differentiate', 'd']",Incorrect,Incorrect,"['un', '-', 'different', 'i', 'ated']",Correct,Correct,sentencepiece,0,Correct
3325,3325,indigestible,digestible,in-digestible,in,google/flan-t5-xxl,"['in', 'dig', 'est', 'ible']",Correct,Correct,"['digest', 'ible']",Incorrect,Incorrect,"['in', '-', 'dig', 'est', 'ible']",Correct,Correct,sentencepiece,0,Correct
3335,3335,undignified,dignified,un-dignified,un,google/flan-t5-xxl,"['und', 'ign', 'ified']",Incorrect,Correct,"['dig', 'n', 'ified']",Incorrect,Incorrect,"['un', '-', 'd', 'ign', 'ified']",Correct,Correct,sentencepiece,0,Under-segmented
3345,3345,undiluted,diluted,un-diluted,un,google/flan-t5-xxl,"['un', 'diluted']",Correct,Correct,['diluted'],Not segmented,Not segmented,"['un', '-', 'diluted']",Correct,Correct,sentencepiece,0,Correct
3355,3355,undimmed,dimmed,un-dimmed,un,google/flan-t5-xxl,"['und', 'im', 'med']",Incorrect,Correct,"['dim', 'med']",Incorrect,Incorrect,"['un', '-', 'd', 'im', 'med']",Correct,Correct,sentencepiece,1,Under-segmented
3365,3365,undiplomatic,diplomatic,un-diplomatic,un,google/flan-t5-xxl,"['un', 'diplom', 'atic']",Correct,Correct,['diplomatic'],Not segmented,Not segmented,"['un', '-', 'diplom', 'atic']",Correct,Correct,sentencepiece,0,Correct
3375,3375,indirect,direct,in-direct,in,google/flan-t5-xxl,['indirect'],Not segmented,Correct,['direct'],Not segmented,Not segmented,"['in', '-', 'direct']",Correct,Correct,sentencepiece,1,Under-segmented
3385,3385,indiscernible,discernible,in-discernible,in,google/flan-t5-xxl,"['in', 'disc', 'er', 'n', 'ible']",Correct,Correct,"['discern', 'ible']",Incorrect,Incorrect,"['in', '-', 'disc', 'er', 'n', 'ible']",Correct,Correct,sentencepiece,0,Correct
3395,3395,undiscerning,discerning,un-discerning,un,google/flan-t5-xxl,"['un', 'discerning']",Correct,Correct,['discerning'],Not segmented,Not segmented,"['un', '-', 'discerning']",Correct,Correct,sentencepiece,0,Correct
3405,3405,indiscreet,discreet,in-discreet,in,google/flan-t5-xxl,"['in', 'disc', 're', 'e', 't']",Correct,Correct,['discreet'],Not segmented,Not segmented,"['in', '-', 'disc', 're', 'e', 't']",Correct,Correct,sentencepiece,0,Correct
3415,3415,indiscriminate,discriminate,in-discriminate,in,google/flan-t5-xxl,"['indi', 's', 'crimin', 'ate']",Incorrect,Correct,"['discrimin', 'ate']",Incorrect,Correct,"['in', '-', 'd', 'is', 'crimin', 'ate']",Correct,Correct,sentencepiece,1,Under-segmented
3425,3425,undiscriminating,discriminating,un-discriminating,un,google/flan-t5-xxl,"['und', 'is', 'crimin', 'ating']",Incorrect,Correct,"['discrimin', 'ating']",Incorrect,Incorrect,"['un', '-', 'd', 'is', 'crimin', 'ating']",Correct,Correct,sentencepiece,0,Under-segmented
3435,3435,indispensable,dispensable,in-dispensable,in,google/flan-t5-xxl,['indispensable'],Not segmented,Correct,"['dis', 'pens', 'able']",Incorrect,Incorrect,"['in', '-', 'disp', 'en', 's', 'able']",Correct,Correct,sentencepiece,1,Under-segmented
3445,3445,nondisposable,disposable,non-disposable,non,google/flan-t5-xxl,"['non', 'disp', 'o', 's', 'able']",Correct,Correct,['disposable'],Not segmented,Not segmented,"['non', '-', 'disp', 'o', 's', 'able']",Correct,Correct,sentencepiece,0,Correct
3455,3455,indistinct,distinct,in-distinct,in,google/flan-t5-xxl,"['in', 'distin', 'c', 't']",Correct,Correct,['distinct'],Not segmented,Correct,"['in', '-', 'distin', 'c', 't']",Correct,Correct,sentencepiece,0,Correct
3465,3465,indistinguishable,distinguishable,in-distinguishable,in,google/flan-t5-xxl,"['in', 'distin', 'gu', 'ish', 'able']",Correct,Correct,"['distinguish', 'able']",Incorrect,Correct,"['in', '-', 'distin', 'gu', 'ish', 'able']",Correct,Correct,sentencepiece,0,Correct
3475,3475,undiversified,diversified,un-diversified,un,google/flan-t5-xxl,"['un', 'diversified']",Correct,Correct,['diversified'],Not segmented,Not segmented,"['un', '-', 'diversified']",Correct,Correct,sentencepiece,0,Correct
3485,3485,indivisible,divisible,in-divisible,in,google/flan-t5-xxl,"['indi', 'visible']",Incorrect,Correct,"['di', 'visible']",Incorrect,Incorrect,"['in', '-', 'd', 'i', 'visible']",Correct,Correct,sentencepiece,0,Under-segmented
3495,3495,undocumented,documented,un-documented,un,google/flan-t5-xxl,"['un', 'document', 'e', 'd']",Correct,Correct,['documented'],Not segmented,Not segmented,"['un', '-', 'document', 'e', 'd']",Correct,Correct,sentencepiece,0,Correct
3505,3505,undomestic,domestic,un-domestic,un,google/flan-t5-xxl,"['und', 'ome', 's', 'tic']",Incorrect,Correct,['domestic'],Not segmented,Not segmented,"['un', '-', 'dom', 'est', 'ic']",Correct,Correct,sentencepiece,0,Under-segmented
3515,3515,downstairs,upstairs,down-stairs,down,google/flan-t5-xxl,['downstairs'],Not segmented,Correct,['upstairs'],Not segmented,Not segmented,"['down', '-', 'stair', 's']",Correct,Correct,sentencepiece,1,Under-segmented
3525,3525,undrained,drained,un-drained,un,google/flan-t5-xxl,"['und', 'rained']",Incorrect,Correct,"['d', 'rained']",Incorrect,Incorrect,"['un', '-', 'd', 'rained']",Correct,Correct,sentencepiece,0,Under-segmented
3535,3535,undramatic,dramatic,un-dramatic,un,google/flan-t5-xxl,"['und', 'rama', 'tic']",Incorrect,Correct,['dramatic'],Not segmented,Not segmented,"['un', '-', 'dra', 'matic']",Correct,Correct,sentencepiece,0,Under-segmented
3545,3545,undrinkable,drinkable,un-drinkable,un,google/flan-t5-xxl,"['und', 'rink', 'able']",Incorrect,Correct,"['drink', 'able']",Incorrect,Incorrect,"['un', '-', 'd', 'rink', 'able']",Correct,Correct,sentencepiece,0,Under-segmented
3555,3555,undue,due,un-due,un,google/flan-t5-xxl,"['und', 'u', 'e']",Incorrect,Correct,['due'],Not segmented,Not segmented,"['un', '-', 'du', 'e']",Correct,Correct,sentencepiece,0,Under-segmented
3565,3565,undynamic,dynamic,un-dynamic,un,google/flan-t5-xxl,"['un', 'dynamic']",Correct,Correct,['dynamic'],Not segmented,Not segmented,"['un', '-', 'dynamic']",Correct,Correct,sentencepiece,0,Correct
3575,3575,uneager,eager,un-eager,un,google/flan-t5-xxl,"['une', 'ager']",Incorrect,Correct,['eager'],Not segmented,Not segmented,"['un', '-', 'e', 'ager']",Correct,Correct,sentencepiece,0,Under-segmented
3585,3585,earless,eared,ear-less,less,google/flan-t5-xxl,"['ear', 'less']",Correct,Correct,"['e', 'a', 'red']",Incorrect,Incorrect,"['ear', '-', 'less']",Correct,Correct,sentencepiece,0,Correct
3595,3595,unearned,earned,un-earned,un,google/flan-t5-xxl,"['un', 'earned']",Correct,Correct,['earned'],Not segmented,Not segmented,"['un', '-', 'earned']",Correct,Correct,sentencepiece,0,Correct
3605,3605,uneasy,easy,un-easy,un,google/flan-t5-xxl,"['un', 'easy']",Correct,Correct,['easy'],Not segmented,Not segmented,"['un', '-', 'easy']",Correct,Correct,sentencepiece,0,Correct
3615,3615,nonechoic,echoic,non-echoic,non,google/flan-t5-xxl,"['none', 'cho', 'ic']",Incorrect,Correct,"['echo', 'ic']",Incorrect,Incorrect,"['non', '-', 'e', 'cho', 'ic']",Correct,Correct,sentencepiece,0,Under-segmented
3625,3625,inedible,edible,in-edible,in,google/flan-t5-xxl,"['in', 'e', 'd', 'ible']",Correct,Correct,['edible'],Not segmented,Not segmented,"['in', '-', 'e', 'd', 'ible']",Correct,Correct,sentencepiece,0,Correct
3635,3635,unedifying,edifying,un-edifying,un,google/flan-t5-xxl,"['une', 'd', 'ifying']",Incorrect,Correct,"['e', 'd', 'ifying']",Incorrect,Incorrect,"['un', '-', 'e', 'd', 'ifying']",Correct,Correct,sentencepiece,0,Under-segmented
3645,3645,uneducated,educated,un-educated,un,google/flan-t5-xxl,"['une', 'duc', 'ated']",Incorrect,Correct,"['educate', 'd']",Incorrect,Incorrect,"['un', '-', 'e', 'duc', 'ated']",Correct,Correct,sentencepiece,0,Under-segmented
3655,3655,ineffective,effective,in-effective,in,google/flan-t5-xxl,"['in', 'effective']",Correct,Correct,['effective'],Not segmented,Not segmented,"['in', '-', 'effective']",Correct,Correct,sentencepiece,0,Correct
3665,3665,noneffervescent,effervescent,non-effervescent,non,google/flan-t5-xxl,"['none', 'ffer', 'v', 'escent']",Incorrect,Correct,"['e', 'ffer', 'v', 'escent']",Incorrect,Incorrect,"['non', '-', 'e', 'ffer', 'v', 'escent']",Correct,Correct,sentencepiece,0,Under-segmented
3675,3675,inefficacious,efficacious,in-efficacious,in,google/flan-t5-xxl,"['in', 'effi', 'c', 'acious']",Correct,Correct,"['eff', 'ic', 'acious']",Incorrect,Incorrect,"['in', '-', 'effi', 'c', 'acious']",Correct,Correct,sentencepiece,0,Correct
3685,3685,inefficient,efficient,in-efficient,in,google/flan-t5-xxl,"['in', 'efficient']",Correct,Correct,['efficient'],Not segmented,Not segmented,"['in', '-', 'efficient']",Correct,Correct,sentencepiece,0,Correct
3695,3695,effortless,effortful,effort-less,less,google/flan-t5-xxl,['effortless'],Not segmented,Correct,"['effort', 'ful']",Incorrect,Incorrect,"['effort', '-', 'less']",Correct,Correct,sentencepiece,1,Under-segmented
3705,3705,inelastic,elastic,in-elastic,in,google/flan-t5-xxl,"['in', 'e', 'l', 'astic']",Correct,Correct,['elastic'],Not segmented,Not segmented,"['in', '-', 'e', 'l', 'astic']",Correct,Correct,sentencepiece,0,Correct
3715,3715,inelegant,elegant,in-elegant,in,google/flan-t5-xxl,"['in', 'ele', 'gan', 't']",Correct,Correct,['elegant'],Not segmented,Not segmented,"['in', '-', 'ele', 'gan', 't']",Correct,Correct,sentencepiece,0,Correct
3725,3725,ineligible,eligible,in-eligible,in,google/flan-t5-xxl,"['in', 'e', 'lig', 'ible']",Correct,Correct,['eligible'],Not segmented,Not segmented,"['in', '-', 'e', 'lig', 'ible']",Correct,Correct,sentencepiece,0,Correct
3735,3735,unemotional,emotional,un-emotional,un,google/flan-t5-xxl,"['une', 'motion', 'al']",Incorrect,Correct,['emotional'],Not segmented,Not segmented,"['un', '-', 'e', 'motion', 'al']",Correct,Correct,sentencepiece,0,Under-segmented
3745,3745,unemployable,employable,un-employable,un,google/flan-t5-xxl,"['une', 'm', 'plo', 'y', 'able']",Incorrect,Correct,"['employ', 'able']",Incorrect,Incorrect,"['un', '-', 'e', 'm', 'plo', 'y', 'able']",Correct,Correct,sentencepiece,0,Under-segmented
3755,3755,unemployed,employed,un-employed,un,google/flan-t5-xxl,"['un', 'employed']",Correct,Correct,['employed'],Not segmented,Not segmented,"['un', '-', 'employed']",Correct,Correct,sentencepiece,0,Correct
3765,3765,disabling,enabling,dis-abling,dis,google/flan-t5-xxl,"['dis', 'a', 'bling']",Correct,Correct,['enabling'],Not segmented,Not segmented,"['dis', '-', 'a', 'bling']",Correct,Correct,sentencepiece,0,Correct
3775,3775,disenchanted,enchanted,dis-enchanted,dis,google/flan-t5-xxl,"['dis', 'en', 'chan', 'ted']",Correct,Correct,"['en', 'chan', 'ted']",Incorrect,Incorrect,"['dis', '-', 'en', 'chan', 'ted']",Correct,Correct,sentencepiece,0,Correct
3785,3785,unenclosed,enclosed,un-enclosed,un,google/flan-t5-xxl,"['un', 'en', 'close', 'd']",Correct,Correct,['enclosed'],Not segmented,Not segmented,"['un', '-', 'en', 'close', 'd']",Correct,Correct,sentencepiece,0,Correct
3795,3795,discouraging,encouraging,dis-couraging,dis,google/flan-t5-xxl,"['disc', 'our', 'aging']",Incorrect,Correct,['encouraging'],Not segmented,Not segmented,"['dis', '-', 'c', 'our', 'aging']",Correct,Correct,sentencepiece,1,Under-segmented
3805,3805,unencumbered,encumbered,un-encumbered,un,google/flan-t5-xxl,"['un', 'en', 'c', 'umb', 'ered']",Correct,Correct,"['en', 'c', 'umb', 'ered']",Incorrect,Incorrect,"['un', '-', 'en', 'c', 'umb', 'ered']",Correct,Correct,sentencepiece,0,Correct
3815,3815,unendowed,endowed,un-endowed,un,google/flan-t5-xxl,"['un', 'end', 'owed']",Correct,Correct,"['end', 'owed']",Incorrect,Incorrect,"['un', '-', 'end', 'owed']",Correct,Correct,sentencepiece,0,Correct
3825,3825,unenforceable,enforceable,un-enforceable,un,google/flan-t5-xxl,"['un', 'enforceable']",Correct,Correct,['enforceable'],Not segmented,Not segmented,"['un', '-', 'enforceable']",Correct,Correct,sentencepiece,0,Correct
3835,3835,unenforced,enforced,un-enforced,un,google/flan-t5-xxl,"['un', 'en', 'force', 'd']",Correct,Correct,"['enforce', 'd']",Incorrect,Incorrect,"['un', '-', 'en', 'force', 'd']",Correct,Correct,sentencepiece,0,Correct
3845,3845,disenfranchised,enfranchised,dis-enfranchised,dis,google/flan-t5-xxl,"['dis', 'en', 'fran', 'ch', 'ised']",Correct,Correct,"['en', 'fran', 'ch', 'ised']",Incorrect,Incorrect,"['dis', '-', 'en', 'fran', 'ch', 'ised']",Correct,Correct,sentencepiece,0,Correct
3855,3855,unenlightened,enlightened,un-enlightened,un,google/flan-t5-xxl,"['un', 'en', 'light', 'ened']",Correct,Correct,"['en', 'light', 'ened']",Incorrect,Incorrect,"['un', '-', 'en', 'light', 'ened']",Correct,Correct,sentencepiece,0,Correct
3865,3865,unenlightening,enlightening,un-enlightening,un,google/flan-t5-xxl,"['un', 'en', 'light', 'en', 'ing']",Correct,Correct,"['en', 'light', 'en', 'ing']",Incorrect,Incorrect,"['un', '-', 'en', 'light', 'en', 'ing']",Correct,Correct,sentencepiece,0,Correct
3875,3875,unenlivened,enlivened,un-enlivened,un,google/flan-t5-xxl,"['un', 'en', 'liv', 'ened']",Correct,Correct,"['en', 'liv', 'ened']",Incorrect,Incorrect,"['un', '-', 'en', 'liv', 'ened']",Correct,Correct,sentencepiece,0,Correct
3885,3885,unenterprising,enterprising,un-enterprising,un,google/flan-t5-xxl,"['un', 'ent', 'er', 'pri', 's', 'ing']",Correct,Correct,"['enter', 'pri', 's', 'ing']",Incorrect,Incorrect,"['un', '-', 'ent', 'er', 'pri', 's', 'ing']",Correct,Correct,sentencepiece,0,Correct
3895,3895,unenthusiastic,enthusiastic,un-enthusiastic,un,google/flan-t5-xxl,"['un', 'ent', 'hus', 'i', 'astic']",Correct,Correct,['enthusiastic'],Not segmented,Not segmented,"['un', '-', 'ent', 'hus', 'i', 'astic']",Correct,Correct,sentencepiece,0,Correct
3905,3905,unequal,equal,un-equal,un,google/flan-t5-xxl,"['une', 'qual']",Incorrect,Correct,['equal'],Not segmented,Not segmented,"['un', '-', 'e', 'qual']",Correct,Correct,sentencepiece,0,Under-segmented
3915,3915,unequipped,equipped,un-equipped,un,google/flan-t5-xxl,"['un', 'equipped']",Correct,Correct,['equipped'],Not segmented,Not segmented,"['un', '-', 'equipped']",Correct,Correct,sentencepiece,0,Correct
3925,3925,inequitable,equitable,in-equitable,in,google/flan-t5-xxl,"['in', 'e', 'quit', 'able']",Correct,Correct,['equitable'],Not segmented,Not segmented,"['in', '-', 'e', 'quit', 'able']",Correct,Correct,sentencepiece,0,Correct
3935,3935,unequivocal,equivocal,un-equivocal,un,google/flan-t5-xxl,"['une', 'qui', 'voc', 'al']",Incorrect,Correct,"['e', 'qui', 'voc', 'al']",Incorrect,Incorrect,"['un', '-', 'e', 'qui', 'voc', 'al']",Correct,Correct,sentencepiece,1,Under-segmented
3945,3945,ineradicable,eradicable,in-eradicable,in,google/flan-t5-xxl,"['in', 'era', 'dic', 'able']",Correct,Correct,"['era', 'dic', 'able']",Incorrect,Incorrect,"['in', '-', 'era', 'dic', 'able']",Correct,Correct,sentencepiece,0,Correct
3955,3955,unerect,erect,un-erect,un,google/flan-t5-xxl,"['une', 'rect']",Incorrect,Correct,"['e', 'rect']",Incorrect,Incorrect,"['un', '-', 'e', 'rect']",Correct,Correct,sentencepiece,0,Under-segmented
3965,3965,unestablished,established,un-established,un,google/flan-t5-xxl,"['un', 'established']",Correct,Correct,['established'],Not segmented,Not segmented,"['un', '-', 'established']",Correct,Correct,sentencepiece,0,Correct
3975,3975,anestrous,estrous,an-estrous,an,google/flan-t5-xxl,"['an', 'est', 'rous']",Correct,Correct,"['est', 'rous']",Incorrect,Incorrect,"['an', '-', 'est', 'rous']",Correct,Correct,sentencepiece,0,Correct
3985,3985,unethical,ethical,un-ethical,un,google/flan-t5-xxl,"['une', 'th', 'ical']",Incorrect,Correct,['ethical'],Not segmented,Not segmented,"['un', '-', 'e', 'th', 'ical']",Correct,Correct,sentencepiece,0,Under-segmented
3995,3995,dysphemistic,euphemistic,dys-phemistic,dys,google/flan-t5-xxl,"['dys', 'p', 'hem', 'istic']",Correct,Correct,"['e', 'up', 'hem', 'istic']",Incorrect,Incorrect,"['dys', '-', 'p', 'hem', 'istic']",Correct,Correct,sentencepiece,0,Correct
4005,4005,dysphoric,euphoric,dys-phoric,dys,google/flan-t5-xxl,"['dys', 'phor', 'ic']",Correct,Correct,"['e', 'u', 'phor', 'ic']",Incorrect,Incorrect,"['dys', '-', 'phor', 'ic']",Correct,Correct,sentencepiece,0,Correct
4015,4015,uneven,even,un-even,un,google/flan-t5-xxl,['uneven'],Not segmented,Correct,['even'],Not segmented,Not segmented,"['un', '-', 'even']",Correct,Correct,sentencepiece,0,Under-segmented
4025,4025,uneventful,eventful,un-eventful,un,google/flan-t5-xxl,"['uneven', 't', 'ful']",Incorrect,Correct,"['event', 'ful']",Incorrect,Incorrect,"['un', '-', 'e', 'vent', 'ful']",Correct,Correct,sentencepiece,0,Under-segmented
4035,4035,inexact,exact,in-exact,in,google/flan-t5-xxl,"['in', 'ex', 'act']",Correct,Correct,['exact'],Not segmented,Not segmented,"['in', '-', 'ex', 'act']",Correct,Correct,sentencepiece,0,Correct
4045,4045,unexchangeable,exchangeable,un-exchangeable,un,google/flan-t5-xxl,"['une', 'x', 'change', 'able']",Incorrect,Correct,"['exchange', 'able']",Incorrect,Incorrect,"['un', '-', 'ex', 'change', 'able']",Correct,Correct,sentencepiece,0,Under-segmented
4055,4055,unexcitable,excitable,un-excitable,un,google/flan-t5-xxl,"['une', 'x', 'c', 'it', 'able']",Incorrect,Correct,"['exc', 'it', 'able']",Incorrect,Incorrect,"['un', '-', 'ex', 'c', 'it', 'able']",Correct,Correct,sentencepiece,0,Under-segmented
4065,4065,unexcited,excited,un-excited,un,google/flan-t5-xxl,"['une', 'x', 'cited']",Incorrect,Correct,['excited'],Not segmented,Not segmented,"['un', '-', 'ex', 'cited']",Correct,Correct,sentencepiece,0,Under-segmented
4075,4075,unexciting,exciting,un-exciting,un,google/flan-t5-xxl,"['une', 'x', 'citing']",Incorrect,Correct,['exciting'],Not segmented,Not segmented,"['un', '-', 'ex', 'citing']",Correct,Correct,sentencepiece,0,Under-segmented
4085,4085,inculpatory,exculpatory,in-culpatory,in,google/flan-t5-xxl,"['in', 'cul', 'p', 'atory']",Correct,Correct,"['exc', 'ul', 'p', 'atory']",Incorrect,Incorrect,"['in', '-', 'cul', 'p', 'atory']",Correct,Correct,sentencepiece,1,Correct
4095,4095,inexcusable,excusable,in-excusable,in,google/flan-t5-xxl,"['in', 'ex', 'cu', 's', 'able']",Correct,Correct,"['exc', 'us', 'able']",Incorrect,Incorrect,"['in', '-', 'ex', 'cu', 's', 'able']",Correct,Correct,sentencepiece,0,Correct
4105,4105,nonexempt,exempt,non-exempt,non,google/flan-t5-xxl,"['non', 'ex', 'empt']",Correct,Correct,"['ex', 'empt']",Incorrect,Incorrect,"['non', '-', 'ex', 'empt']",Correct,Correct,sentencepiece,0,Correct
4115,4115,unexhausted,exhausted,un-exhausted,un,google/flan-t5-xxl,"['une', 'x', 'haus', 'ted']",Incorrect,Correct,['exhausted'],Not segmented,Not segmented,"['un', '-', 'ex', 'haus', 'ted']",Correct,Correct,sentencepiece,0,Under-segmented
